5000000	0.0471405	0.0238911
10000000	0.102754	0.0274985
15000000	0.140346	0.0435066
20000000	0.191802	0.0564531
25000000	0.3025	0.0973834
30000000	0.287881	0.0913399
35000000	0.336169	0.122431
40000000	0.445063	0.108953
45000000	0.428063	0.125153
50000000	0.507526	0.143238
55000000	0.527451	0.190418
60000000	0.569582	0.167787
65000000	0.636203	0.190531
70000000	0.671498	0.241724
75000000	0.719169	0.209884
80000000	0.94013	0.23457
85000000	0.921454	0.251306
90000000	0.867998	0.253878
95000000	0.957088	0.266341
100000000	0.945736	0.281616
