05000000    0.00271252  0.0141257
10000000    0.00525558  0.0428255
15000000    0.0243196   0.0668748
20000000    0.010048    0.0582498
25000000    0.012421    0.0760662
30000000    0.0148684   0.111717
35000000    0.0176206   0.100183
40000000    0.019546    0.133357
45000000    0.022052    0.165143
50000000    0.0248302   0.143736
55000000    0.0267863   0.1578
60000000    0.0294472   0.172444
65000000    0.0317261   0.192422
70000000    0.0344461   0.203229
75000000    0.0374895   0.21633
80000000    0.0386481   0.254385
85000000    0.0416079   0.265127
90000000    0.043554    0.357223
95000000    0.0458401   0.282558
100000000   0.0484787   0.305992

